,station,name,category,review,url
0,Dongducheon Central Station,슈퍼보드,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1757635205&query=%EC%8A%88%ED%8D%BC%EB%B3%B4%EB%93%9C
1,Dongducheon Central Station,셜록홈즈 동두천점,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=1524208028&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90
2,Jihaeng Station,슈퍼보드,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1757635205&query=%EC%8A%88%ED%8D%BC%EB%B3%B4%EB%93%9C
3,Jihaeng Station,셜록홈즈 동두천점,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=1524208028&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90
4,Jihaeng Station,슈퍼보드,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1757635205&query=%EC%8A%88%ED%8D%BC%EB%B3%B4%EB%93%9C
5,Jihaeng Station,셜록홈즈 동두천점,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=1524208028&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90
6,Jihaeng Station,슈퍼보드,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1757635205&query=%EC%8A%88%ED%8D%BC%EB%B3%B4%EB%93%9C
7,Jihaeng Station,셜록홈즈 동두천점,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=1524208028&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90
8,Jihaeng Station,슈퍼보드,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1757635205&query=%EC%8A%88%ED%8D%BC%EB%B3%B4%EB%93%9C
9,Jihaeng Station,셜록홈즈 동두천점,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=1524208028&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90
10,Jihaeng Station,슈퍼보드,보드카페,20,https://store.naver.com/restaurants/detail?entry=ple&id=1757635205&query=%EC%8A%88%ED%8D%BC%EB%B3%B4%EB%93%9C
11,Jihaeng Station,셜록홈즈 동두천점,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=1524208028&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%A0%90
12,possible station,더조커,보드카페,219,https://store.naver.com/restaurants/detail?entry=ple&id=1825830903&query=%EB%8D%94%EC%A1%B0%EC%BB%A4
13,possible station,액시트 방탈출카페,방탈출카페,145,https://store.naver.com/restaurants/detail?entry=ple&id=38466830&query=%EC%95%A1%EC%8B%9C%ED%8A%B8%20%EB%B0%A9%ED%83%88%EC%B6%9C%EC%B9%B4%ED%8E%98
14,possible station,콩툰 의정부점,북카페,79,https://store.naver.com/restaurants/detail?entry=ple&id=906915131&query=%EC%BD%A9%ED%88%B0%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90
15,possible station,코마이스케이프 의정부점,방탈출카페,59,https://store.naver.com/restaurants/detail?entry=ple&id=70254297&query=%EC%BD%94%EB%A7%88%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90
16,possible station,명보드게임 2호점,보드카페,26,https://store.naver.com/restaurants/detail?entry=ple&id=48033677&query=%EB%AA%85%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%202%ED%98%B8%EC%A0%90
17,possible station,트릭이스케이프,방탈출카페,19,https://store.naver.com/restaurants/detail?entry=ple&id=37616013&query=%ED%8A%B8%EB%A6%AD%EC%9D%B4%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%94%84
18,possible station,추억의 놀이터,룸카페,14,https://store.naver.com/restaurants/detail?entry=ple&id=36952564&query=%EC%B6%94%EC%96%B5%EC%9D%98%20%EB%86%80%EC%9D%B4%ED%84%B0
19,possible station,뽀드카페,보드카페,14,https://store.naver.com/restaurants/detail?entry=ple&id=1718772456&query=%EB%BD%80%EB%93%9C%EC%B9%B4%ED%8E%98
20,possible station,셜록홈즈 의정부점,방탈출카페,11,https://store.naver.com/restaurants/detail?entry=ple&id=1671815107&query=%EC%85%9C%EB%A1%9D%ED%99%88%EC%A6%88%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90
21,possible station,꽁냥꽁냥 꽁다방,룸카페,7,https://store.naver.com/restaurants/detail?entry=ple&id=1110205514&query=%EA%BD%81%EB%83%A5%EA%BD%81%EB%83%A5%20%EA%BD%81%EB%8B%A4%EB%B0%A9
